company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes,company_status,stage,one_liner
"EPICURE THERAPEUTICS, INC.",,1R44NS145930-01A1,,Seattle,WA,981094307,,nih_reporter,,Bryan Bentley Gore,,,,,,
PARTILLION BIOSCIENCE CORPORATION,,1R43AI186929-01A1,,Los Angeles,CA,900642204,,nih_reporter,,Joseph  De Rutte,,,,,,
"SIERRA BIOPHARMA, INC.",,1R43NS145856-01,,Davis,CA,95618,,nih_reporter,,Robert H Fairclough,,,,,,
"ASTROCYTE PHARMACEUTICALS, INC.",,1R41DA064479-01,,Cambridge,MA,021421292,,nih_reporter,,Michael J Beckstead,,,,,,
"MEDOSOME BIOTEC, LLC",,1R43DK146558-01,,Alachua,FL,326155302,,nih_reporter,,Richard  Wagner,,,,,,
OUTFLOWGEN LLC,,1R41EY039138-01,,Portland,OR,972202106,,nih_reporter,,Ted S Acott,,,,,,
INTERO BIOSYSTEMS INC.,,1R43TR006331-01,,Aurora,CO,800457301,,nih_reporter,,Charlie  Childs,,,,,,
SOJOURN MEDTECH LLC,,1R44DK148334-01,,Pendleton,SC,296702006,,nih_reporter,,Lydia  Petersen,,,,,,
"CAROLINA INSTRUMENTS, INC.",,1R41EY038588-01,,Chapel Hill,NC,275144331,,nih_reporter,,Ellora  Mctaggart,,,,,,
"OBJECTIVE ED, INC.",,1R43EY038508-01A1,,Wellington,FL,334148306,,nih_reporter,,Marty  Schultz,,,,,,
"LUNA BIOSCIENCE, INC.",,1R41AI197598-01,,Westport,CT,068802913,,nih_reporter,,Thomas J Powell,,,,,,
"PHOENIX NEST, INC.",,1R44NS147802-01,,Brooklyn,NY,112156563,,nih_reporter,,Srikanth  Singamsetty,,,,,,
"CURATIX, LLC",,1R44AI192071-01,,Groton,CT,0634-,,nih_reporter,,Jae-Yeon  Choi,,,,,,
"UV01 TECHNOLOGIES, INC",,1R43ES038814-01,,San Diego,CA,921132152,,nih_reporter,,Neil Edward Klepeis,,,,,,
"DOOR PHARMACEUTICALS, LLC",,1R43AI195101-01,,Bloomington,IN,474015321,,nih_reporter,,Smita  Nair,,,,,,
HUMMINGBIRD PRECISION MACHINE COMPANY,,1R43GM165185-01,,Lacey,WA,985161329,,nih_reporter,,Norman James Salmon,,,,,,
"PRIMROSE BIO, INC.",,1R44TR006096-01,,San Diego,CA,921211508,,nih_reporter,,Patrik  Engstrom,,,,,,
SHABRI LLC,,1R41AI197550-01,,Hastings,NE,689013465,,nih_reporter,,Yury  Salkovskiy,,,,,,
MINNESOTA HEALTHSOLUTIONS CORPORATION,,1R43MH143321-01,,Saint Paul,MN,551053031,,nih_reporter,,Jeffrey Neil Keller,,,,,,
"TRANSCHROMIX, LLC.",,1R41DA064241-01,,Chapel Hill,NC,275141859,,nih_reporter,,Xian  Chen,,,,,,
"PETCOIL, INC.",,1R43DE035410-01,,Sunnyvale,CA,94085,,nih_reporter,,Chenming  Chang,,,,,,
"BD HOLDING, INC.",,1R43AA032752-01,,Iowa City,IA,522461932,,nih_reporter,,Robert A Philibert,,,,,,
BIOSYFT INC.,,1R41DA064482-01,,Seattle,WA,981027017,,nih_reporter,,Anthony Edward English,,,,,,
"SKM INSTRUMENTS, LLC",,1R43DA064718-01,,Laramie,WY,82070,,nih_reporter,,Keith  Carron,,,,,,
QUINTERO & KONTOPOULOS PLLC,,1R43DK146580-01,,Coral Gables,FL,331461515,,nih_reporter,,Ruben  Quintero,,,,,,
"CMTX BIOTECH, INC.",,1R41DK143771-01A1,,Kings Park,NY,117541747,,nih_reporter,,Lori A Birder,,,,,,
BIOTA INC.,,1R43ES038797-01,,Fort Collins,CO,805243011,,nih_reporter,,Rose T Byrne-Nash,,,,,,
"CELDARA MEDICAL, LLC",,1R43TR006062-01A1,,Lebanon,NH,037661441,,nih_reporter,,Joana M Murad,,,,,,
"BIOLIGHT ENGINEERING, LLC",,1R44EY039153-01,,Hinsdale,IL,605213181,,nih_reporter,,Robison Vernon Paul Chan,,,,,,
"AIGENE, INC.",,1R43TR005928-01A1,,Aurora,CO,800457335,,nih_reporter,,Floyd  Taub,,,,,,
"POTOMAC AFFINITY PROTEINS, LLC",,1R43GM159468-01A1,,North Potomac,MD,208782566,,nih_reporter,,Philip N Bryan,,,,,,
"ADAMAS NANOTECHNOLOGIES, INC.",,1R43GM165231-01,,Raleigh,NC,276177300,,nih_reporter,,Nicholas  Nunn,,,,,,
NEFER KA LLC,,1R43DA064773-01,,Newton Lower Falls,MA,024621317,,nih_reporter,,Magued  Nasr,,,,,,
ALPACURE LLC,,1R43AI191918-01A1,,Portland,OR,972162028,,nih_reporter,,Timothy Andrew Bates,,,,,,
AI SOLUTIONS 87 LLC,,1R43ES038793-01,,West Bend,WI,530959295,,nih_reporter,,Gregory Paul Behm,,,,,,
"INVIZYNE TECHNOLOGIES, INC.",,2R44GM159516-05A1,,Monrovia,CA,910166357,,nih_reporter,,Tyler P Korman,,,,,,
"TALUS BIOSCIENCE, INC.",,1R44TR005930-01A1,,Seattle,WA,98122,,nih_reporter,,William Ellis Fondrie,,,,,,
HERE & NOW SYSTEMS LLC,,1R43AA031938-01A1,,Anchorage,AK,995044730,,nih_reporter,,Patrick  Dulin,,,,,,
"MOTIVE THERAPEUTICS, INC.",,1R43GM160988-01A1,,Waltham,MA,024538690,,nih_reporter,,Alexander  Marzilli,,,,,,
SCIENTIFIC HORIZONS CONSULTING LLC,,1R43DA065300-01,,Irvine,CA,926173231,,nih_reporter,,Xiang  Gao,,,,,,
"IASO THERAPEUTICS, INC.",,1R43AI197624-01,,East Lansing,MI,488235606,,nih_reporter,,Herbert Wanjala Kavunja,,,,,,
"MB RESEARCH LABORATORIES, INC.",,1R43ES038438-01,,Spinnerstown,PA,189680178,,nih_reporter,,George L. Degeorge,,,,,,
CYTOTERRA INC.,,1R44TR005899-01A1,,Seattle,WA,98102,,nih_reporter,,Stephen Matthew Eacker,,,,,,
INTERO BIOSYSTEMS INC.,,2R44TR005379-02,,Aurora,CO,800457301,,nih_reporter,,Charlie  Childs,,,,,,
"SOLLUS THERAPEUTICS, INC.",,1R41TR006357-01,,Chapel Hill,NC,275164701,,nih_reporter,,Joshua  Black,,,,,,
METRICS WATER CATALYST LLC,,1R43ES038809-01,,Carefree,AZ,853774363,,nih_reporter,,Ali  Shambayati,,,,,,
YOUNG TECH SOLUTIONS LLC,,1R41DC023812-01,,Brookfield,WI,530053237,,nih_reporter,,Sheikh Iqbal Ahamed,,,,,,
JAVELIN BIOTECH,,1R43TR005374-01A1,,Woburn,MA,01801,,nih_reporter,,Murat  Cirit,,,,,,
BEHAVIOR CHANGE HUB LIMITED LIABILITY COMPANY,,1R42AA033287-01,,Boston,MA,02134,,nih_reporter,,Molly  Magill,,,,,,
"AUSPEX MEDIX, LLC",,1R43DC023170-01A1,,Williamsville,NY,142218501,,nih_reporter,,Wei  Bo,,,,,,
"GOEPPERT, LLC",,1R43TR006093-01A1,,Philadelphia,PA,191031343,,nih_reporter,,Yan  Zubo,,,,,,
"AMELIA TECHNOLOGIES, LLC",,1R44ES038434-01,,Washington,DC,20001,,nih_reporter,,Brian  Ell,,,,,,
BEHAVIOR CHANGE HUB LIMITED LIABILITY COMPANY,,1R41DA064319-01,,Boston,MA,02134,,nih_reporter,,Molly  Magill,,,,,,
"SANSIMEON, INC",,1R44GM163418-01,,Fremont,CA,945551300,,nih_reporter,,Philipp Stefan Spuhler,,,,,,
