lab_name,category_focus,city,state,street_address,contact_name,contact_email,phone_number,website_url,source_registry
TRUE DIAGNOSTICS,Contract Manufacturing,Ca - Carlsbad,,,,,,https://truediag.com/,BioPharmGuy
FREUDENBERG MEDICAL,Contract Manufacturing,Ca - Carpinteria,,,,,,https://www.freudenbergmedical.com/,BioPharmGuy
SOHM,Contract Manufacturing,Ca - Chino Hills,,,,,,https://sohm.com/,BioPharmGuy
RESONETICS,Contract Manufacturing,Ca - Davis,,,,,,https://resonetics.com/,BioPharmGuy
NUTCRACKER THERAPEUTICS,Contract Manufacturing,Ca - Emeryville,,,,,,https://www.nutcrackerx.com/,BioPharmGuy
APPLIED VIROMICS,Contract Manufacturing,Ca - Fremont,,,,,,https://www.appliedviromics.com/,BioPharmGuy
BIONOVA SCIENTIFIC,Contract Manufacturing,Ca - Fremont,,,,,,https://bionovascientific.com/,BioPharmGuy
CONFLUENT MEDICAL TECHNOLOGIES,Contract Manufacturing,Ca - Fremont,,,,,,https://confluentmedical.com/,BioPharmGuy
VIANT MEDICAL,Contract Manufacturing,Ca - Fremont,,,,,,https://viantmedical.com/,BioPharmGuy
UNITED PHARMACEUTICAL,Contract Manufacturing,Ca - Fullerton,,,,,,https://www.unitedpharmallc.com/,BioPharmGuy
CHARLES RIVER LABORATORIES,Contract Manufacturing,Ca - Hollister,,,,,,https://www.criver.com/,BioPharmGuy
BREVET,Contract Manufacturing,Ca - Huntington Beach,,,,,,https://www.brevet.com/,BioPharmGuy
ALTAVIZ,Contract Manufacturing,Ca - Irvine,,,,,,https://www.altaviz.com/,BioPharmGuy
PRO-DEX,Contract Manufacturing,Ca - Irvine,,,,,,https://www.pro-dex.com/,BioPharmGuy
SIEGFRIED,Contract Manufacturing,Ca - Irvine,,,,,,https://www.siegfried.ch/,BioPharmGuy
STASON PHARMACEUTICALS,Contract Manufacturing,Ca - Irvine,,,,,,https://stasonpharma.com/,BioPharmGuy
MARMAN INDUSTRIES,Contract Manufacturing,Ca - La Verne,,,,,,https://www.marman.com/,BioPharmGuy
CONFLUENT MEDICAL TECHNOLOGIES,Contract Manufacturing,Ca - Laguna Niguel,,,,,,https://confluentmedical.com/,BioPharmGuy
GENZUM LIFE SCIENCES,Contract Manufacturing,Ca - Los Angeles,,,,,,https://genzum.com/,BioPharmGuy
PLD PHARMA SERVICES,Contract Manufacturing,Ca - Lynwood,,,,,,https://www.pldpharma.com/,BioPharmGuy
CS BIO,Contract Manufacturing,Ca - Menlo Park,,,,,,https://www.csbio.com/,BioPharmGuy
APPLIED STEMCELL,Contract Manufacturing,Ca - Milpitas,,,,,,https://appliedstemcell.com/,BioPharmGuy
ARTEREX,Contract Manufacturing,Ca - Milpitas,,,,,,https://arterexmedical.com/,BioPharmGuy
CPC SCIENTIFIC,Contract Manufacturing,Ca - Milpitas,,,,,,https://cpcscientific.com/,BioPharmGuy
STELLARTECH RESEARCH,Contract Manufacturing,Ca - Milpitas,,,,,,https://www.stellartechresearch.com/,BioPharmGuy
DUKE EMPIRICAL,Contract Manufacturing,Ca - Morgan Hill,,,,,,https://www.dukeempirical.com/,BioPharmGuy
BIOPRODUCTION SYSTEMS,Contract Manufacturing,Ca - Palo Alto,,,,,,https://www.bioproductionsystems.com/,BioPharmGuy
I PEACE,Contract Manufacturing,Ca - Palo Alto,,,,,,https://ipeace.com/en/,BioPharmGuy
DOW DEVELOPMENT LABS,Contract Manufacturing,Ca - Petaluma,,,,,,https://www.dowdevelopmentlabs.com/,BioPharmGuy
ARTEREX,Contract Manufacturing,Ca - Pleasanton,,,,,,https://arterexmedical.com/,BioPharmGuy
AMSINO,Contract Manufacturing,Ca - Pomona,,,,,,https://www.amsino.com/,BioPharmGuy
PACIFIC BIOPHARMA LOGISTICS,Contract Manufacturing,Ca - Poway,,,,,,https://www.pacbiolog.com/,BioPharmGuy
SK PHARMTECO,Contract Manufacturing,Ca - Rancho Cordova,,,,,,https://www.skpharmteco.com/,BioPharmGuy
AB MEDICAL,Contract Manufacturing,Ca - Redding,,,,,,https://abmedtech.com/,BioPharmGuy
CODEXIS,Contract Manufacturing,Ca - Redwood City,,,,,,https://www.codexis.com/,BioPharmGuy
JOINN BIOLOGICS,Contract Manufacturing,Ca - Richmond,,,,,,https://www.joinnbio.com/,BioPharmGuy
ABEOMICS,Contract Manufacturing,Ca - San Diego,,,,,,https://www.abeomics.com/,BioPharmGuy
AJINOMOTO BIO-PHARMA SERVICES,Contract Manufacturing,Ca - San Diego,,,,,,https://www.ajibio-pharma.com/,BioPharmGuy
ARTIS BIOSOLUTIONS,Contract Manufacturing,Ca - San Diego,,,,,,https://artisbiosolutions.com/,BioPharmGuy
ASCENTX MEDICAL,Contract Manufacturing,Ca - San Diego,,,,,,https://ascentxmedical.com/,BioPharmGuy
BORA BIOLOGICS,Contract Manufacturing,Ca - San Diego,,,,,,https://www.borabiologics.com/,BioPharmGuy
CIRSIUM BIOSCIENCES,Contract Manufacturing,Ca - San Diego,,,,,,https://cirsiumbio.com/,BioPharmGuy
CREATE BIOSCIENCES,Contract Manufacturing,Ca - San Diego,,,,,,https://createbiosciences.com/,BioPharmGuy
HYGIA REAGENTS,Contract Manufacturing,Ca - San Diego,,,,,,https://www.hygiareagents.com/,BioPharmGuy
NANOCOMPOSIX,Contract Manufacturing,Ca - San Diego,,,,,,https://nanocomposix.com/,BioPharmGuy
PCI PHARMA SERVICES,Contract Manufacturing,Ca - San Diego,,,,,,https://pci.com/,BioPharmGuy
POLARIS PHARMA,Contract Manufacturing,Ca - San Diego,,,,,,https://polarispharma.com/,BioPharmGuy
POLYPEPTIDE GROUP,Contract Manufacturing,Ca - San Diego,,,,,,https://www.polypeptide.com/,BioPharmGuy
RESILIENCE,Contract Manufacturing,Ca - San Diego,,,,,,https://resilience.com/,BioPharmGuy
RESONETICS,Contract Manufacturing,Ca - San Diego,,,,,,https://resonetics.com/,BioPharmGuy
TANVEX BIOPHARMA,Contract Manufacturing,Ca - San Diego,,,,,,http://www.tanvex.com/,BioPharmGuy
VLP BIOTECH,Contract Manufacturing,Ca - San Diego,,,,,,http://www.vlpbiotech.com,BioPharmGuy
WUXI APPTEC,Contract Manufacturing,Ca - San Diego,,,,,,https://www.wuxiapptec.com/,BioPharmGuy
ICOSAGEN CELL FACTORY,Contract Manufacturing,Ca - San Francisco,,,,,,https://www.icosagen.com/,BioPharmGuy
ACROBIOSYSTEMS,Contract Manufacturing,Ca - San Jose,,,,,,https://acrobiosystems.com.cn/,BioPharmGuy
MEDEOLOGIX,Contract Manufacturing,Ca - San Jose,,,,,,https://medeologix.com/,BioPharmGuy
MCGUFF PHARMACEUTICALS,Contract Manufacturing,Ca - Santa Ana,,,,,,https://www.mcguffpharmaceuticals.com/,BioPharmGuy
ORCHID ORTHOPEDIC SOLUTIONS,Contract Manufacturing,Ca - Santa Ana,,,,,,https://www.orchid-ortho.com/,BioPharmGuy
CIRTEC MEDICAL,Contract Manufacturing,Ca - Santa Clara,,,,,,https://www.cirtecmed.com/,BioPharmGuy
DENDREON,Contract Manufacturing,Ca - Seal Beach,,,,,,https://www.dendreon.com/,BioPharmGuy
PISA USA,Contract Manufacturing,Ca - Solana Beach,,,,,,https://www.pisa-usa.com/,BioPharmGuy
CULTURE BIOSCIENCES,Contract Manufacturing,Ca - South Sf,,,,,,https://www.culturebiosciences.com/,BioPharmGuy
FORMUREX,Contract Manufacturing,Ca - Stockton,,,,,,http://www.formurex.com,BioPharmGuy
ZEBRASCI,Contract Manufacturing,Ca - Temecula,,,,,,https://zebrasci.com/,BioPharmGuy
FUJIFILM DIOSYNTH,Contract Manufacturing,Ca - Thousand Oaks,,,,,,https://fujifilmbiotechnologies.fujifilm.com/,BioPharmGuy
BACHEM,Contract Manufacturing,Ca - Torrance,,,,,,https://www.bachem.com/,BioPharmGuy
POLYPEPTIDE GROUP,Contract Manufacturing,Ca - Torrance,,,,,,https://www.polypeptide.com/,BioPharmGuy
VIANT MEDICAL,Contract Manufacturing,Ca - Upland,,,,,,https://viantmedical.com/,BioPharmGuy
FRESENIUS KABI,Contract Manufacturing,Chile - Sanitago,,,,,,https://www.fresenius-kabi.com/,BioPharmGuy
ACROBIOSYSTEMS,Contract Manufacturing,China - Beijing,,,,,,https://acrobiosystems.com.cn/,BioPharmGuy
ASYMCHEM,Contract Manufacturing,China - Beijing,,,,,,https://www.asymchem.com/,BioPharmGuy
BELLEN CHEMISTRY,Contract Manufacturing,China - Beijing,,,,,,https://www.bellenchem.com/en,BioPharmGuy
CHARLES RIVER LABORATORIES,Contract Manufacturing,China - Beijing,,,,,,https://www.criver.com/,BioPharmGuy
JOINN BIOLOGICS,Contract Manufacturing,China - Beijing,,,,,,https://www.joinnbio.com/,BioPharmGuy
JIUZHOU PHARMA,Contract Manufacturing,China - Changshu,,,,,,https://en.jiuzhoupharma.com/,BioPharmGuy
PORTON PHARMA SOLUTIONS,Contract Manufacturing,China - Chongqing,,,,,,https://www.portonpharma.com/en,BioPharmGuy
SINTAHO PHARMACEUTICAL,Contract Manufacturing,China - Chongqing,,,,,,https://en.sintaho.com/,BioPharmGuy
RIBOBAY PHARMA,Contract Manufacturing,China - Chuzhou,,,,,,http://www.ribobay.com/en/,BioPharmGuy
CANTON BIOLOGICS,Contract Manufacturing,China - Guangzhou,,,,,,https://cantonbio.com/,BioPharmGuy
VECTORBUILDER,Contract Manufacturing,China - Guangzhou,,,,,,https://en.vectorbuilder.com/,BioPharmGuy
WISDOM PHARMACEUTICAL,Contract Manufacturing,China - Haimen,,,,,,http://www.wisdompharma.com/,BioPharmGuy
ALTRUIST BIOLOGICS,Contract Manufacturing,China - Hangzhou,,,,,,https://www.altruistbio.com/,BioPharmGuy
JIUZHOU PHARMA,Contract Manufacturing,China - Hangzhou,,,,,,https://en.jiuzhoupharma.com/,BioPharmGuy
SINOPEP,Contract Manufacturing,China - Hangzhou,,,,,,https://www.sinopep.com/,BioPharmGuy
BIOMED LINKAGE TECH,Contract Manufacturing,China - Hong Kong,,,,,,https://www.biomedlinkage.com/,BioPharmGuy
HOVIONE,Contract Manufacturing,China - Hong Kong,,,,,,https://www.hovione.com/,BioPharmGuy
TARON SOLUTIONS,Contract Manufacturing,China - Hong Kong,,,,,,https://www.taronsolutions.com/,BioPharmGuy
RAFFLES PHARMATECH,Contract Manufacturing,China - Huizhou,,,,,,https://rafflespt.com/,BioPharmGuy
BIODLINK,Contract Manufacturing,China - Jiangsu,,,,,,https://www.biodlink.com/,BioPharmGuy
VIANT MEDICAL,Contract Manufacturing,China - Jiangsu,,,,,,https://viantmedical.com/,BioPharmGuy
