entity_id,source_file,source_record_id,company_name,address_street,address_city,address_state
ENT-000038,biopharmguy_cmos_standardized.csv,bfc5eabebbc5f144,GENZUM LIFE SCIENCES,,Los Angeles,CA
ENT-000038,biopharmguy_cros_standardized.csv,bfc5eabebbc5f144,GENZUM LIFE SCIENCES,,Los Angeles,CA
ENT-000039,biopharmguy_cmos_standardized.csv,5e3c190a2296e38b,PLD PHARMA SERVICES,,Lynwood,CA
ENT-000040,biopharmguy_cmos_standardized.csv,3dcd48e3a922d49f,CS BIO,,Menlo Park,CA
ENT-000041,biopharmguy_cmos_standardized.csv,d4c4d03a82d82063,APPLIED STEMCELL,,Milpitas,CA
ENT-000042,biopharmguy_cmos_standardized.csv,a3450e63e8e0461d,ARTEREX,,Milpitas,CA
ENT-000043,biopharmguy_cmos_standardized.csv,741f0230c6217036,CPC SCIENTIFIC,,Milpitas,CA
ENT-000044,biopharmguy_cmos_standardized.csv,65a97940f13ac60b,STELLARTECH RESEARCH,,Milpitas,CA
ENT-000044,biopharmguy_cros_standardized.csv,65a97940f13ac60b,STELLARTECH RESEARCH,,Milpitas,CA
ENT-000045,biopharmguy_cmos_standardized.csv,e2400b1b012f7732,DUKE EMPIRICAL,,Morgan Hill,CA
ENT-000046,biopharmguy_cmos_standardized.csv,02820dd25fb41867,BIOPRODUCTION SYSTEMS,,Palo Alto,CA
ENT-000047,biopharmguy_cmos_standardized.csv,165ad3c190b38153,I PEACE,,Palo Alto,CA
ENT-000048,biopharmguy_cmos_standardized.csv,b5c92792b011525f,DOW DEVELOPMENT LABS,,Petaluma,CA
ENT-000048,biopharmguy_cros_standardized.csv,b5c92792b011525f,DOW DEVELOPMENT LABS,,Petaluma,CA
ENT-000049,biopharmguy_cmos_standardized.csv,824089cd846ad8a0,ARTEREX,,Pleasanton,CA
ENT-000050,biopharmguy_cmos_standardized.csv,0866204a66bb4403,AMSINO,,Pomona,CA
ENT-000051,biopharmguy_cmos_standardized.csv,8cad64e7becca9fd,PACIFIC BIOPHARMA LOGISTICS,,Poway,CA
ENT-000051,fda_drug_registration_standardized.csv,3014359714,"Pacific Biopharma Logistics, Inc.",11895 Community Rd,Poway,CA
ENT-000052,biopharmguy_cmos_standardized.csv,8e3c22f9acfcb669,SK PHARMTECO,,Rancho Cordova,CA
ENT-000052,biopharmguy_cros_standardized.csv,8e3c22f9acfcb669,SK PHARMTECO,,Rancho Cordova,CA
ENT-000053,biopharmguy_cmos_standardized.csv,eb77a5c3b87331bf,AB MEDICAL,,Redding,CA
ENT-000054,biopharmguy_cmos_standardized.csv,3c256f51e6e9fac4,CODEXIS,,Redwood City,CA
ENT-000054,biopharmguy_cros_standardized.csv,3c256f51e6e9fac4,CODEXIS,,Redwood City,CA
ENT-000055,biopharmguy_cmos_standardized.csv,4f115c8f4e49406b,JOINN BIOLOGICS,,Richmond,CA
ENT-000055,biopharmguy_cros_standardized.csv,4f115c8f4e49406b,JOINN BIOLOGICS,,Richmond,CA
ENT-000056,biopharmguy_cmos_standardized.csv,7d779fdc8f2b03c3,ABEOMICS,,San Diego,CA
ENT-000056,biopharmguy_cros_standardized.csv,7d779fdc8f2b03c3,ABEOMICS,,San Diego,CA
ENT-000057,biopharmguy_cmos_standardized.csv,fcccfea9cd267a26,AJINOMOTO BIO-PHARMA SERVICES,,San Diego,CA
ENT-000058,biopharmguy_cmos_standardized.csv,432cfeeb243e93b5,ARTIS BIOSOLUTIONS,,San Diego,CA
ENT-000058,biopharmguy_therapeutics_standardized.csv,432cfeeb243e93b5,ARTIS BIOSOLUTIONS,,San Diego,CA
ENT-000059,biopharmguy_cmos_standardized.csv,b5417fe2bbc826b3,ASCENTX MEDICAL,,San Diego,CA
ENT-000059,biopharmguy_therapeutics_standardized.csv,b5417fe2bbc826b3,ASCENTX MEDICAL,,San Diego,CA
ENT-000060,biopharmguy_cmos_standardized.csv,0ab93f533b69bc92,BORA BIOLOGICS,,San Diego,CA
ENT-000060,biopharmguy_cros_standardized.csv,0ab93f533b69bc92,BORA BIOLOGICS,,San Diego,CA
ENT-000061,biopharmguy_cmos_standardized.csv,1c54b63b0833f5a6,CIRSIUM BIOSCIENCES,,San Diego,CA
ENT-000062,biopharmguy_cmos_standardized.csv,8830f801d60e638f,CREATE BIOSCIENCES,,San Diego,CA
ENT-000063,biopharmguy_cmos_standardized.csv,4bdc480b9d2872a5,HYGIA REAGENTS,,San Diego,CA
ENT-000064,biopharmguy_cmos_standardized.csv,6df128363e86a0d7,NANOCOMPOSIX,,San Diego,CA
ENT-000064,biopharmguy_cros_standardized.csv,6df128363e86a0d7,NANOCOMPOSIX,,San Diego,CA
ENT-000064,fda_drug_registration_standardized.csv,3010366543,"nanoComposix, LLC.","4878 Ronson Ct, Ste J",San Diego,CA
ENT-000065,biopharmguy_cmos_standardized.csv,e08b31c5a5ef0338,PCI PHARMA SERVICES,,San Diego,CA
ENT-000065,biopharmguy_cros_standardized.csv,e08b31c5a5ef0338,PCI PHARMA SERVICES,,San Diego,CA
ENT-000066,biopharmguy_cmos_standardized.csv,8ab6366d5b77c5f4,POLARIS PHARMA,,San Diego,CA
ENT-000066,biopharmguy_therapeutics_standardized.csv,8ab6366d5b77c5f4,POLARIS PHARMA,,San Diego,CA
ENT-000067,biopharmguy_cmos_standardized.csv,c438226b0dc3a8a3,POLYPEPTIDE GROUP,,San Diego,CA
ENT-000067,biopharmguy_cros_standardized.csv,c438226b0dc3a8a3,POLYPEPTIDE GROUP,,San Diego,CA
ENT-000068,biopharmguy_cmos_standardized.csv,64ec6079f51c2eca,RESONETICS,,San Diego,CA
ENT-000069,biopharmguy_cmos_standardized.csv,aa1f43dc4da24bdd,TANVEX BIOPHARMA,,San Diego,CA
ENT-000069,biopharmguy_cros_standardized.csv,aa1f43dc4da24bdd,TANVEX BIOPHARMA,,San Diego,CA
ENT-000070,biopharmguy_cmos_standardized.csv,b8fdb0ff84db5d06,VLP BIOTECH,,San Diego,CA
ENT-000071,biopharmguy_cmos_standardized.csv,86b9482375211489,WACKER,,San Diego,CA
ENT-000072,biopharmguy_cmos_standardized.csv,b5dc1e5bc7c3abbd,WUXI APPTEC,,San Diego,CA
ENT-000072,biopharmguy_cros_standardized.csv,b5dc1e5bc7c3abbd,WUXI APPTEC,,San Diego,CA
ENT-000073,biopharmguy_cmos_standardized.csv,707813d037bb42f4,ICOSAGEN CELL FACTORY,,San Francisco,CA
ENT-000073,biopharmguy_cros_standardized.csv,707813d037bb42f4,ICOSAGEN CELL FACTORY,,San Francisco,CA
ENT-000073,biopharmguy_cros_standardized.csv,707813d037bb42f4,ICOSAGEN CELL FACTORY,,San Francisco,CA
ENT-000073,biopharmguy_therapeutics_standardized.csv,707813d037bb42f4,ICOSAGEN CELL FACTORY,,San Francisco,CA
ENT-000074,biopharmguy_cmos_standardized.csv,c7d7dc18fb6df8ce,ACROBIOSYSTEMS,,San Jose,CA
