entity_id,source_file,source_record_id,company_name
ENT-000061,01a_fda_biologics_hctp_standardized.csv,3005391124,Arizona Center for Reproductive Endocrinology and Infertility
ENT-000062,01a_fda_biologics_hctp_standardized.csv,3003941314,Arizona Reproductive Medicine Specialists
ENT-000063,01a_fda_biologics_hctp_standardized.csv,3005338425,Arkansas Fertility & Gynecology Associates
ENT-000064,01a_fda_biologics_hctp_standardized.csv,1000305448,"Arthur M. Blank Hospital, Inc."
ENT-000065,01a_fda_biologics_hctp_standardized.csv,3001451326,"Artivion, Inc."
ENT-000066,01a_fda_biologics_hctp_standardized.csv,1970374,"Ascension Via Christi Hospitals Wichita, Inc."
ENT-000067,01a_fda_biologics_hctp_standardized.csv,3010894725,Aspire Fertility Institute Austin
ENT-000068,01a_fda_biologics_hctp_standardized.csv,3012838671,Aspire Fertility Institute Dallas
ENT-000069,01a_fda_biologics_hctp_standardized.csv,3006601457,Aspire Fertility Institute San Antonio
ENT-000070,01a_fda_biologics_hctp_standardized.csv,3005033067,Assisted Fertility Program
ENT-000071,01a_fda_biologics_hctp_standardized.csv,3007014169,"Assisted Reproductive Technologies Medical Group, Inc."
ENT-000072,01a_fda_biologics_hctp_standardized.csv,3010046969,"Atlantic Reproductive Medicine Specialists, PA"
ENT-000073,01a_fda_biologics_hctp_standardized.csv,3010641159,Atrium Health
ENT-000074,01a_fda_biologics_hctp_standardized.csv,3005405897,"Atrium Health Fertility Center, A Facility of Carolinas Medical Center"
ENT-000075,01a_fda_biologics_hctp_standardized.csv,3003909013,Atrium Health Wake Forest Baptist CFEM
ENT-000076,01a_fda_biologics_hctp_standardized.csv,3010600137,Audubon Labs LLC
ENT-000077,01a_fda_biologics_hctp_standardized.csv,3004451803,Aurora Health Care - Aurora Fertility Services
ENT-000078,01a_fda_biologics_hctp_standardized.csv,3006580872,Aurora Health Care-Aurora Fertility Services
ENT-000079,01a_fda_biologics_hctp_standardized.csv,3004369212,Aurora St. Luke's Medical Center
ENT-000080,01a_fda_biologics_hctp_standardized.csv,3008804132,Austin Laboratory New Health
ENT-000081,01a_fda_biologics_hctp_standardized.csv,1772097,Avera McKennan Hospital & University Health Center
ENT-000082,01a_fda_biologics_hctp_standardized.csv,3023488176,Axogen Corporation
ENT-000082,0a_drls_reg_standardized.csv,3023488176,Axogen
ENT-000083,01a_fda_biologics_hctp_standardized.csv,3012085771,Axogen Corporation
ENT-000084,01a_fda_biologics_hctp_standardized.csv,3035360396,BBG Advanced Therapies
ENT-000084,01a_fda_biologics_hctp_standardized.csv,3041720620,BBG Advanced Therapies
ENT-000085,01a_fda_biologics_hctp_standardized.csv,3045189436,BEH Life Sciences
ENT-000086,01a_fda_biologics_hctp_standardized.csv,,BEH Life Sciences LLC
ENT-000087,01a_fda_biologics_hctp_standardized.csv,3009651519,"BHC, LLC"
ENT-000088,01a_fda_biologics_hctp_standardized.csv,3031915164,BIOCENTRIC LAB LLC
ENT-000089,01a_fda_biologics_hctp_standardized.csv,3030597722,"BLS Labs, LLC"
ENT-000090,01a_fda_biologics_hctp_standardized.csv,3004445465,Banner - University Medical Center Tucson
ENT-000091,01a_fda_biologics_hctp_standardized.csv,3009601590,Banner MD Anderson Cancer Center
ENT-000092,01a_fda_biologics_hctp_standardized.csv,3004580210,Baptist Cancer Center Malignant Hematology & Transplant Program
ENT-000093,01a_fda_biologics_hctp_standardized.csv,3004620025,Barbara Ann Karmanos Cancer Hospital
ENT-000094,01a_fda_biologics_hctp_standardized.csv,1974272,Barnes-Jewish Hospital BB
ENT-000095,01a_fda_biologics_hctp_standardized.csv,3011007455,Baylor Scott & White Medical Center - Temple
ENT-000096,01a_fda_biologics_hctp_standardized.csv,3004080724,Baylor University Medical Center
ENT-000097,01a_fda_biologics_hctp_standardized.csv,3031507074,"Baylor, Scott, and White, ART Program"
